OrderDate,DeliveryDate
15/06/2020,26/03/2020
25/08/2020,17/07/2020
17/08/2021,24/04/2020
14/08/2021,13/04/2020
20/12/2020,2/02/2021
1/03/2020,13/01/2020
4/10/2021,26/10/2019
9/10/2021,27/12/2020
27/12/2021,16/04/2021
5/03/2020,13/11/2021
20/07/2019,28/11/2019
26/06/2022,17/04/2021
3/12/2020,7/01/2022
13/04/2022,5/07/2020
22/08/2020,17/03/2020
30/09/2020,27/11/2021
4/09/2019,14/10/2022
29/04/2021,3/12/2019
14/04/2020,6/04/2022
24/04/2020,29/12/2019
30/09/2019,30/12/2020
8/06/2021,15/12/2021
1/06/2020,28/09/2021
3/11/2021,5/01/2020
2/02/2020,4/02/2020
13/09/2019,11/10/2020
25/08/2020,3/09/2022
22/04/2021,19/04/2020
9/08/2019,6/11/2020
12/04/2022,19/11/2022
28/01/2022,12/03/2021
2/04/2021,31/08/2022
23/11/2021,25/08/2020
5/04/2022,16/12/2019
10/08/2019,24/01/2022
27/02/2022,4/04/2021
8/08/2019,9/10/2020
4/05/2022,6/05/2021
5/10/2020,19/12/2022
27/01/2021,25/01/2021
14/08/2019,7/01/2022
25/11/2021,5/12/2020
29/09/2019,12/03/2022
13/04/2022,18/03/2021
10/12/2020,12/11/2019
19/11/2022,30/12/2022
16/08/2021,17/04/2021
13/06/2021,31/08/2022
2/02/2021,28/12/2021
7/03/2022,8/09/2021
2/12/2022,8/11/2020
16/12/2019,1/09/2022
27/05/2022,26/11/2021
29/03/2020,21/03/2021
12/01/2021,2/01/2021
12/08/2022,20/02/2022
27/03/2022,12/05/2020
15/02/2022,26/08/2020
11/10/2021,2/06/2021
24/08/2020,17/07/2020
17/06/2021,10/06/2022
12/01/2021,24/08/2021
3/12/2021,5/10/2021
3/11/2019,28/08/2022
3/07/2019,22/10/2022
9/10/2021,25/04/2021
6/09/2021,24/06/2021
30/08/2020,21/05/2020
5/08/2019,6/05/2020
16/10/2022,10/01/2020
19/12/2021,21/10/2021
15/08/2019,15/05/2021
28/05/2020,28/02/2021
11/12/2019,27/03/2021
15/05/2022,14/07/2021
6/06/2021,13/01/2021
28/04/2021,7/07/2021
22/01/2022,13/02/2022
15/08/2021,7/04/2021
17/07/2019,25/09/2020
10/08/2022,11/06/2022
8/01/2021,22/06/2021
6/07/2022,1/07/2022
1/07/2020,22/03/2021
19/08/2022,24/06/2021
20/11/2020,19/04/2021
14/12/2020,3/07/2022
30/10/2019,19/07/2022
24/08/2022,8/06/2021
22/02/2020,22/02/2022
1/11/2019,5/11/2021
13/09/2019,15/04/2022
15/08/2022,10/02/2020
2/11/2019,30/07/2021
5/05/2022,1/01/2021
20/02/2022,28/04/2022
20/04/2021,14/08/2021
22/01/2021,30/09/2020
12/12/2021,8/12/2022
28/02/2020,10/12/2021
5/06/2022,30/09/2022
19/06/2021,31/10/2020
14/10/2019,10/11/2019
11/08/2022,18/01/2021
21/12/2021,12/01/2022
18/02/2020,12/11/2022
26/02/2020,27/04/2020
13/12/2022,31/10/2022
30/12/2021,19/01/2021
7/05/2021,3/10/2022
17/09/2019,14/12/2021
10/03/2020,14/09/2022
29/12/2021,2/12/2019
7/05/2021,21/11/2022
19/09/2022,18/03/2020
17/07/2022,4/09/2022
3/02/2021,27/03/2021
13/12/2021,9/04/2020
21/01/2022,10/07/2022
14/06/2022,23/09/2021
24/12/2020,11/02/2022
20/11/2019,5/12/2021
17/01/2020,19/01/2020
3/10/2021,12/10/2021
29/04/2020,4/04/2020
10/06/2020,12/03/2022
3/06/2020,6/08/2022
2/08/2022,17/07/2022
7/08/2021,15/11/2021
15/08/2020,29/05/2022
3/10/2022,22/04/2021
26/09/2021,1/10/2020
11/01/2020,16/07/2021
1/09/2021,12/08/2020
27/08/2021,4/11/2020
5/08/2022,25/04/2021
21/08/2022,30/03/2021
25/05/2021,24/12/2021
11/08/2021,14/05/2022
6/07/2020,19/06/2022
13/08/2020,7/10/2021
22/12/2020,2/12/2022
22/09/2019,3/06/2021
4/02/2021,21/04/2020
10/10/2022,5/12/2019
24/07/2022,3/08/2021
14/10/2021,21/02/2021
9/12/2022,1/07/2022
1/10/2020,15/12/2020
12/02/2020,7/01/2020
19/09/2021,1/10/2020
27/09/2022,1/06/2021
8/02/2020,7/11/2021
3/08/2019,22/06/2020
14/11/2022,12/06/2021
14/09/2019,9/09/2021
24/11/2019,30/11/2019
7/05/2021,28/08/2022
4/08/2019,5/01/2020
26/06/2021,14/05/2022
26/05/2022,11/05/2020
26/11/2020,28/06/2020
30/09/2020,10/05/2022
14/02/2022,5/03/2020
22/12/2019,18/08/2020
24/10/2021,11/11/2022
20/12/2019,26/09/2022
29/04/2021,8/11/2020
11/06/2020,18/08/2020
14/03/2021,4/06/2021
15/09/2021,2/08/2021
21/05/2021,26/03/2020
16/08/2020,6/04/2020
8/04/2021,16/02/2022
24/10/2020,19/03/2020
24/02/2021,7/08/2020
26/08/2019,22/12/2020
14/07/2020,15/10/2022
15/07/2020,6/04/2020
5/03/2020,10/12/2020
7/06/2022,13/12/2019
10/09/2021,7/10/2020
22/09/2020,23/01/2022
22/09/2020,9/11/2020
5/08/2020,17/11/2022
6/01/2020,11/12/2022
1/08/2020,5/11/2022
26/04/2020,17/04/2021
1/11/2020,28/07/2021
3/06/2022,12/11/2020
10/12/2020,13/11/2022
2/04/2022,3/06/2022
20/11/2019,1/12/2020
17/08/2021,19/07/2022
27/02/2022,19/12/2019
25/10/2019,9/06/2021
26/07/2020,4/01/2021
15/12/2020,13/08/2020
13/01/2020,15/10/2019
18/07/2022,4/02/2021
23/06/2021,2/09/2021
23/06/2020,24/03/2020
19/06/2020,12/05/2020
5/07/2021,26/01/2020
3/10/2020,13/08/2020
13/10/2022,18/09/2021
28/01/2021,18/10/2022
21/06/2022,18/06/2020
23/01/2022,17/06/2022
23/11/2019,10/05/2021
21/12/2019,10/04/2020
5/08/2021,12/04/2021
31/05/2021,15/10/2019
13/11/2019,6/02/2020
9/02/2021,23/07/2020
29/11/2020,9/02/2020
17/09/2022,24/03/2022
2/10/2021,18/02/2021
4/06/2021,8/04/2020
4/12/2022,2/10/2021
21/10/2019,9/04/2020
18/06/2021,27/02/2021
22/04/2020,5/07/2021
5/05/2022,27/12/2022
9/03/2020,24/05/2022
12/04/2022,18/04/2021
28/06/2020,13/02/2021
7/01/2021,21/03/2022
30/09/2020,11/08/2020
1/11/2019,29/01/2022
9/05/2020,4/11/2020
7/07/2022,21/08/2020
19/06/2021,16/08/2021
26/10/2022,2/10/2021
24/03/2021,17/01/2021
24/11/2021,22/12/2020
23/07/2022,19/08/2020
19/06/2021,17/12/2020
28/03/2020,15/08/2021
30/09/2020,15/04/2022
14/03/2022,20/10/2020
2/03/2022,19/02/2021
19/02/2021,15/11/2021
25/07/2021,4/04/2021
28/11/2020,17/09/2022
27/08/2020,14/10/2020
24/08/2022,31/05/2022
11/06/2022,22/03/2020
25/03/2021,9/02/2021
4/07/2020,8/01/2020
15/06/2020,8/11/2020
29/04/2021,26/01/2022
11/02/2021,6/11/2022
8/08/2022,20/08/2021
14/07/2021,23/10/2022
8/01/2022,24/12/2019
18/08/2019,1/04/2022
17/06/2022,24/03/2021
29/06/2022,21/06/2020
20/02/2021,1/07/2020
7/02/2022,25/04/2021
27/07/2019,20/04/2022
2/11/2021,18/02/2021
7/11/2022,7/09/2022
27/09/2020,29/01/2022
8/07/2020,14/11/2019
30/09/2019,28/11/2019
4/06/2020,12/12/2022
13/01/2021,10/08/2020
20/05/2020,1/10/2022
11/08/2020,23/03/2021
4/07/2020,26/04/2022
29/05/2020,4/02/2022
24/11/2022,22/01/2022
13/06/2021,15/07/2022
23/01/2021,16/09/2021
22/02/2020,1/06/2020
9/01/2022,5/06/2020
1/05/2022,20/03/2020
1/01/2020,24/08/2021
9/08/2020,11/11/2022
12/11/2020,11/12/2022
29/07/2021,5/06/2022
3/10/2019,27/04/2021
29/07/2020,15/01/2020
25/04/2020,17/11/2022
22/06/2022,30/12/2021
11/09/2021,30/05/2021
11/09/2020,5/12/2021
30/05/2021,30/12/2021
25/04/2020,11/12/2020
21/03/2021,28/03/2022
27/09/2022,19/07/2021
27/04/2022,12/08/2022
1/08/2020,5/03/2022
23/09/2022,8/03/2020
3/11/2022,18/12/2022
25/06/2020,9/12/2020
20/07/2020,23/10/2020
24/05/2022,6/03/2022
18/11/2020,29/08/2021
