OrderRef,MenuID,BookingID,StaffID,DeliveryStatusID,OrderDate,TableNumber,Quantity,Cost,Discount,DeliveryCost,Sales
54-366-6861,1,1,14,1,15/06/2020,6,2,125,20,60.51,187.5
54-366-6861,1,1,14,1,15/06/2020,6,2,93.13,9.71,60.51,139.695
54-366-6861,1,1,14,1,15/06/2020,6,2,75,10,60.51,112.5
54-366-6861,1,1,14,1,15/06/2020,6,2,144.09,31.2,60.51,216.135
54-366-6861,1,1,14,1,15/06/2020,6,2,125,15,60.51,187.5
54-366-6861,1,1,14,1,15/06/2020,6,2,168.27,80.34,60.51,252.405
54-366-6861,1,1,14,1,15/06/2020,6,2,69.38,53.53,60.51,104.07
54-366-6861,1,1,14,1,15/06/2020,6,2,190,61.49,60.51,285
54-366-6861,1,1,14,1,15/06/2020,6,2,52.08,10.52,60.51,78.12
54-366-6861,1,1,14,1,15/06/2020,6,2,310,54.08,60.51,465
54-366-6861,1,1,14,1,15/06/2020,6,2,91.84,23,60.51,137.76
54-366-6861,1,1,14,1,15/06/2020,6,2,320,91.14,60.51,480
54-366-6861,1,1,14,1,15/06/2020,6,2,93.13,11.23,60.51,139.695
54-366-6861,1,1,14,1,15/06/2020,6,2,75,98.01,60.51,112.5
54-366-6861,1,1,14,1,15/06/2020,6,2,144.09,73.09,60.51,216.135
54-366-6861,1,1,14,1,15/06/2020,6,2,125,97.48,60.51,187.5
54-366-6861,1,1,14,1,15/06/2020,6,2,168.27,51.05,60.51,252.405
54-366-6861,1,1,14,1,15/06/2020,6,2,69.38,99.24,60.51,104.07
54-366-6861,1,1,14,1,15/06/2020,6,2,190,20.33,60.51,285
54-366-6861,1,1,14,1,15/06/2020,6,2,52.08,68.89,60.51,78.12
54-366-6861,1,1,14,1,15/06/2020,6,2,310,89.84,60.51,465
63-761-3686,2,2,14,2,25/08/2020,5,1,235,15,96.75,352.5
63-761-3686,2,2,14,2,25/08/2020,5,1,44.57,80.34,96.75,66.855
63-761-3686,2,2,14,2,25/08/2020,5,1,220,53.53,96.75,330
63-761-3686,2,2,14,2,25/08/2020,5,1,101.6,61.49,96.75,152.4
63-761-3686,2,2,14,2,25/08/2020,5,1,235,10.52,96.75,352.5
63-761-3686,2,2,14,2,25/08/2020,5,1,124.62,54.08,96.75,186.93
63-761-3686,2,2,14,2,25/08/2020,5,1,119.8,23,96.75,179.7
63-761-3686,2,2,14,2,25/08/2020,5,1,98,91.14,96.75,147
63-761-3686,2,2,14,2,25/08/2020,5,1,83.99,11.23,96.75,125.985
63-761-3686,2,2,14,2,25/08/2020,5,1,225,98.01,96.75,337.5
63-761-3686,2,2,14,2,25/08/2020,5,1,133.17,73.09,96.75,199.755
63-761-3686,2,2,14,2,25/08/2020,5,1,210,97.48,96.75,315
63-761-3686,2,2,14,2,25/08/2020,5,1,44.57,51.05,96.75,66.855
63-761-3686,2,2,14,2,25/08/2020,5,1,220,99.24,96.75,330
63-761-3686,2,2,14,2,25/08/2020,5,1,101.6,20.33,96.75,152.4
63-761-3686,2,2,14,2,25/08/2020,5,1,235,68.89,96.75,352.5
63-761-3686,2,2,14,2,25/08/2020,5,1,124.62,89.84,96.75,186.93
63-761-3686,2,2,14,2,25/08/2020,5,1,119.8,30,96.75,179.7
63-761-3686,2,2,14,2,25/08/2020,5,1,98,9.12,96.75,147
63-761-3686,2,2,14,2,25/08/2020,5,1,83.99,47.84,96.75,125.985
63-761-3686,2,2,14,2,25/08/2020,5,1,225,17.4,96.75,337.5
65-351-6434,3,3,15,3,17/08/2021,7,3,75,10.52,36.37,112.5
65-351-6434,3,3,15,3,17/08/2021,7,3,91.84,54.08,36.37,137.76
65-351-6434,3,3,15,3,17/08/2021,7,3,320,23,36.37,480
65-351-6434,3,3,15,3,17/08/2021,7,3,93.13,91.14,36.37,139.695
65-351-6434,3,3,15,3,17/08/2021,7,3,75,11.23,36.37,112.5
65-351-6434,3,3,15,3,17/08/2021,7,3,144.09,98.01,36.37,216.135
65-351-6434,3,3,15,3,17/08/2021,7,3,125,73.09,36.37,187.5
65-351-6434,3,3,15,3,17/08/2021,7,3,168.27,97.48,36.37,252.405
65-351-6434,3,3,15,3,17/08/2021,7,3,69.38,51.05,36.37,104.07
65-351-6434,3,3,15,3,17/08/2021,7,3,190,99.24,36.37,285
65-351-6434,3,3,15,3,17/08/2021,7,3,52.08,20.33,36.37,78.12
65-351-6434,3,3,15,3,17/08/2021,7,3,310,68.89,36.37,465
65-351-6434,3,3,15,3,17/08/2021,7,3,91.84,89.84,36.37,137.76
65-351-6434,3,3,15,3,17/08/2021,7,3,320,30,36.37,480
65-351-6434,3,3,15,3,17/08/2021,7,3,93.13,9.12,36.37,139.695
65-351-6434,3,3,15,3,17/08/2021,7,3,75,47.84,36.37,112.5
65-351-6434,3,3,15,3,17/08/2021,7,3,144.09,17.4,36.37,216.135
65-351-6434,3,3,15,3,17/08/2021,7,3,125,37.04,36.37,187.5
65-351-6434,3,3,15,3,17/08/2021,7,3,168.27,67.77,36.37,252.405
65-351-6434,3,3,15,3,17/08/2021,7,3,69.38,94.76,36.37,104.07
